date,median,min,max
2020-10-21,2183,2027,2325
2020-10-22,2265,2090,2397
2020-10-23,2357,2150,2458
2020-10-24,2447,2222,2537
2020-10-25,2535,2355,2689
2020-10-26,2626,2446,2790
2020-10-27,2728,2577,2882
2020-10-28,2838,2604,3015
2020-10-29,2929,2709,3098
2020-10-30,3040,2839,3219
2020-10-31,3150,2928,3347
2020-11-01,3280,3019,3466
2020-11-02,3401,3130,3585
2020-11-03,3527,3288,3707
2020-11-04,3656,3406,3869
2020-11-05,3789,3526,4010
2020-11-06,3919,3659,4137
2020-11-07,4060,3773,4259
2020-11-08,4167,3868,4400
2020-11-09,4296,3999,4535
2020-11-10,4423,4129,4617
2020-11-11,4524,4176,4709
2020-11-12,4625,4255,4816
2020-11-13,4705,4354,4952
2020-11-14,4771,4431,5023
2020-11-15,4784,4466,5065
2020-11-16,4811,4488,5087
2020-11-17,4816,4493,5103
2020-11-18,4806,4493,5103
2020-11-19,4794,4476,5078
2020-11-20,4748,4439,5026
2020-11-21,4689,4381,4928
2020-11-22,4645,4354,4862
2020-11-23,4585,4279,4799
2020-11-24,4498,4202,4710
2020-11-25,4405,4095,4617
2020-11-26,4327,4018,4558
2020-11-27,4185,3899,4482
2020-11-28,4101,3802,4394
2020-11-29,3997,3712,4254
2020-11-30,3873,3581,4154
2020-12-01,3763,3486,4018
2020-12-02,3648,3367,3933
2020-12-03,3543,3263,3836
2020-12-04,3427,3146,3720
2020-12-05,3308,3036,3592
2020-12-06,3195,2949,3480
2020-12-07,3088,2840,3387
2020-12-08,2982,2760,3253
2020-12-09,2865,2669,3135
2020-12-10,2775,2572,3067
2020-12-11,2676,2468,2975
2020-12-12,2568,2361,2886
2020-12-13,2484,2278,2756
2020-12-14,2370,2202,2621
2020-12-15,2292,2116,2499
2020-12-16,2182,2033,2438
2020-12-17,2094,1889,2361
2020-12-18,2006,1809,2281
2020-12-19,1919,1730,2173
2020-12-20,1840,1621,2078
2020-12-21,1772,1543,1990
2020-12-22,1681,1494,1924
2020-12-23,1615,1437,1810
2020-12-24,1533,1374,1714
2020-12-25,1472,1330,1661
2020-12-26,1413,1276,1606
2020-12-27,1348,1215,1523
2020-12-28,1286,1123,1456
2020-12-29,1225,1065,1395
2020-12-30,1162,1003,1338
2020-12-31,1112,964,1266
