date,real,A_down,A_top,B_down,B_top
2022-02-15,3314,3175,3583,3163,
2022-02-16,3275,3121,3583,3097,3547
2022-02-17,3232,3049,3510,3073,3475
2022-02-18,3187,3006,3441,3017,3412
2022-02-19,3123,2962,3394,2974,3357
2022-02-20,3050,2909,3364,2916,3290
2022-02-21,2998,2885,3324,2845,3240
2022-02-22,2949,2819,3251,2783,3156
2022-02-23,2912,2734,3178,2699,3107
2022-02-24,2859,2647,3092,2629,3051
2022-02-25,2811,2579,3034,2588,2974
2022-02-26,2739,2520,2957,2537,2913
2022-02-27,2683,2476,2869,2475,2844
2022-02-28,2588,2434,2795,2452,2801
2022-03-01,2527,2385,2718,2379,2741
2022-03-02,2458,2311,2669,2319,2679
2022-03-03,2414,2251,2615,2272,2609
2022-03-04,2363,2173,2584,2200,2572
2022-03-05,2324,2104,2524,2150,2524
2022-03-06,2274,2055,2476,2079,2475
2022-03-07,2208,2024,2445,2037,2403
2022-03-08,2157,2002,2409,1999,2360
2022-03-09,2114,1949,2348,1967,2313
2022-03-10,2085,1896,2309,1909,2266
2022-03-11,2044,1866,2270,1866,2249
2022-03-12,1984,1836,2209,1830,2221
2022-03-13,1948,1812,2148,1817,2173
2022-03-14,1924,1781,2112,1776,2130
2022-03-15,1884,1751,2095,1726,2106
2022-03-16,1841,1711,2054,1689,2077
2022-03-17,1784,1676,2015,1669,2074
2022-03-18,1753,1647,1973,1652,2038
2022-03-19,1735,1610,1924,1621,1972
2022-03-20,1723,1566,1900,1597,1935
2022-03-21,1699,1520,1881,1569,1917
2022-03-22,1679,1494,1837,1559,1879
2022-03-23,1665,1476,1805,1511,1835
2022-03-24,1622,1462,1777,1480,1812
2022-03-25,1599,1456,1759,1457,1770
2022-03-26,1591,1439,1729,1433,1743
2022-03-27,1555,1412,1699,1409,1704
2022-03-28,1525,1373,1682,1392,1682
2022-03-29,1504,1344,1658,1384,1658
2022-03-30,1504,1333,1640,1356,1640
2022-03-31,1499,1315,1634,1344,1634
2022-04-01,1492,1305,1609,1344,1616
2022-04-02,1498,1291,1592,1338,1610
2022-04-03,1498,1280,1570,1339,1629
2022-04-04,1509,1257,1575,1367,1628
2022-04-05,,1255,1564,1374,1634
2022-04-06,,1255,1563,1386,1676
2022-04-07,,1261,1538,1406,1721
2022-04-08,,1236,1527,1447,1758
2022-04-09,,1218,1524,1521,1808
2022-04-10,,1190,1500,1574,1853
2022-04-11,,1184,1493,1651,1918
2022-04-12,,1190,1486,1712,2002
2022-04-13,,1185,1456,1773,2072
2022-04-14,,1184,1450,1839,2125
2022-04-15,,1184,1417,1912,2210
2022-04-16,,1167,1404,1983,2283
2022-04-17,,1143,1391,2055,2386
2022-04-18,,1119,1367,2132,2445
2022-04-19,,1082,1332,2201,2542
2022-04-20,,1065,1308,2250,2584
2022-04-21,,1061,1293,2315,2630
2022-04-22,,1036,1280,2356,2669
2022-04-23,,1019,1250,2375,2688
2022-04-24,,1001,1225,2392,2712
2022-04-25,,982,1208,2392,2712
2022-04-26,,943,1183,2382,2660
2022-04-27,,918,1137,2335,2645
2022-04-28,,907,1114,2309,2613
2022-04-29,,888,1090,2262,2546
2022-04-30,,859,1066,2232,2498
2022-05-01,,827,1032,2177,2451
2022-05-02,,790,1000,2123,2411
2022-05-03,,758,972,2074,2352
2022-05-04,,731,932,2007,2269
2022-05-05,,706,906,1909,2215
2022-05-06,,681,894,1823,2149
2022-05-07,,645,850,1772,2075
2022-05-08,,612,815,1713,1968
2022-05-09,,605,765,1632,1872
2022-05-10,,583,729,1572,1807
2022-05-11,,563,693,1506,1748
2022-05-12,,557,693,1433,1670
2022-05-13,,537,669,1356,1574
2022-05-14,,509,650,1282,1484
2022-05-15,,492,609,1230,1399
